CodigoNacional,momento,RRR6_Valor,Traza_Valor
330019,11/4/19 12:00,0,0
330019,11/4/19 18:00,0,0
330019,12/4/19 0:00,0,0
330019,12/4/19 12:00,0,0
330019,12/4/19 18:00,0,0
330019,13-04-2019 00:00:00,0,0
330019,13-04-2019 12:00:00,0,0
330019,13-04-2019 18:00:00,0,0
330019,14-04-2019 00:00:00,0,0
330019,14-04-2019 12:00:00,0,0
330019,14-04-2019 18:00:00,0,0
330019,15-04-2019 00:00:00,0,0
330019,15-04-2019 12:00:00,0,0
330019,15-04-2019 18:00:00,0,0
330019,16-04-2019 00:00:00,0,0
330019,16-04-2019 12:00:00,0,0
330019,16-04-2019 18:00:00,0,0
330019,17-04-2019 00:00:00,0,0
330019,17-04-2019 12:00:00,0,0
330019,17-04-2019 18:00:00,0,0
330019,18-04-2019 00:00:00,0,0
330019,18-04-2019 12:00:00,0,0
330019,18-04-2019 18:00:00,0,0
330019,19-04-2019 00:00:00,0,0
330019,19-04-2019 12:00:00,0,0
330019,19-04-2019 18:00:00,0,0
330019,20-04-2019 00:00:00,0,0
330019,20-04-2019 12:00:00,0,0
330019,20-04-2019 18:00:00,0,0
330019,21-04-2019 00:00:00,0,0
330019,21-04-2019 12:00:00,0,0
330019,21-04-2019 18:00:00,0,0
330019,22-04-2019 00:00:00,0,0
330019,22-04-2019 12:00:00,0,0
330019,22-04-2019 18:00:00,0,0
330019,23-04-2019 00:00:00,,0
330019,23-04-2019 12:00:00,0,0
330019,23-04-2019 18:00:00,0,0
330019,24-04-2019 00:00:00,0,0
330019,24-04-2019 12:00:00,0,0
330019,24-04-2019 18:00:00,0,0
330019,25-04-2019 00:00:00,,0
330019,25-04-2019 12:00:00,0,0
330019,25-04-2019 18:00:00,0,0
330019,26-04-2019 00:00:00,0,0
330019,26-04-2019 12:00:00,0,0
330019,26-04-2019 18:00:00,0,0
330019,27-04-2019 00:00:00,0,0
330019,27-04-2019 12:00:00,0,0
330019,27-04-2019 18:00:00,0,0
330019,28-04-2019 00:00:00,0,0
330019,28-04-2019 12:00:00,0,0
330019,28-04-2019 18:00:00,0,0
